tweet_id,text,author_id,created_at,place_id,like_count,quote_count,reply_count,retweet_count,conversation_id,in_reply_to_user_id
963263104858673155,爱他就给他做饭吧❤️ 中国新年快来了～～～ #爱是陪伴❤️ @ Lunar New Year Festival 2018 https://t.co/KxDAdiDt21,91499854,2018-02-13T04:06:35.000Z,fa424f169eef946e,0,0,0,0,963263104858673155,N/A
963262847148011520,"Traditional Vietnamese Gel Nail Art for Tet holiday ( Chinese New Year)

#bestnails #topnails… https://t.co/1vVKMgUCtc",895412382721130497,2018-02-13T04:05:33.000Z,5c62ffb0f0f3479d,0,0,0,0,963262847148011520,N/A
963286463201787904,"12 hours until we take off for Hong Kong! Wrapping up our final practice &amp; ready to #DiscoverHongKong for the Chinese New Year!

#SeaGalsDiscoverHK https://t.co/pgKBr8eHA3",569478894,2018-02-13T05:39:24.000Z,07d9ecea78081001,87,0,0,7,963286463201787904,N/A
963286016256815104,"Fine Lunar New Year Lunching: Steamed Chicken, Pei Dan Tofu, Baby Bok Choy, Steamed Rice, Orange… https://t.co/yWb5Aj9vk4",19960531,2018-02-13T05:37:37.000Z,d563cf7307e4ba95,0,0,0,0,963286016256815104,N/A
963283781925748737,@LetsGoWarriors They've worn the Chinese New Year unis already,1457098820,2018-02-13T05:28:45.000Z,5a110d312052166f,0,0,1,0,963283618993852417,27189557
963282151620956160,"Yellow Lion, Chinese New Year, 2018 #chinesenewyear #chinatownhi #chinatown #honolulu @… https://t.co/ajWmngMjEy",251370387,2018-02-13T05:22:16.000Z,c47c0bc571bf5427,0,0,0,0,963282151620956160,N/A
963281551697080320,"Baby Lion, Chinese New Year, 2018 #chinesenewyear  #chinatownhnl #chinatown #honolulu @… https://t.co/gyQzAB2mZI",251370387,2018-02-13T05:19:53.000Z,c47c0bc571bf5427,0,0,0,0,963281551697080320,N/A
963279301918543873,From this past weekend’s performance for the Asia Times Square Lunar New Year… https://t.co/8nSClVq1WW,552131903,2018-02-13T05:10:57.000Z,005151f517b0d4f1,1,0,0,0,963279301918543873,N/A
963278898728525825,"Lion Dance, Chinese New Year, 2018. #chinesenewyear #chinatownhi #honolulu @ Chinatown, Hawaii https://t.co/D6FTobpZzl",251370387,2018-02-13T05:09:20.000Z,c47c0bc571bf5427,0,0,0,0,963278898728525825,N/A
963276804600553472,"This  Friday Feb 16
Lunar  New Year Celebration 
Free music dancing art activities for students ages 6 to 17
Lincoln Center David Geffen Hall
 10AM to 3PM https://t.co/kp2JFyLAy2",48008414,2018-02-13T05:01:01.000Z,01a9a39529b27f36,1,0,0,0,963276804600553472,N/A
963301999025508352,Chinese New Year ready! @ Cyrene Apartments https://t.co/5tjV9pJOP4,19523239,2018-02-13T06:41:08.000Z,300bcc6e23a88361,0,0,0,0,963301999025508352,N/A
963301326020018177,"Such an amazing display @bellagio for the Chinese New Year - year of the dog. 

If you were born… https://t.co/QcFJaeEi05",2267477706,2018-02-13T06:38:28.000Z,8fa6d7a33b83ef26,0,0,0,0,963301326020018177,N/A
963320375512715264,@mattpinfield Hello to @mattpinfield  &amp; @MikeInez and Happy New Year from Happenin' Harry :),137629054,2018-02-13T07:54:09.000Z,3b77caf94bfc81fe,0,0,0,0,963289165075857408,32398651
963317841834393600,lunar new year × new moon on thursday,1657772954,2018-02-13T07:44:05.000Z,3b77caf94bfc81fe,1,0,0,0,963317841834393600,N/A
963312809613258752,"Since it's going to be a Chinese New Year week. I'm going to watch some kung fu flicks. 
Here is the list:
- Drunken master 
- Once upon a time in China 
- Iron monkey 
- Crouching tiger hidden dragon
- The grandmaster 
- Heroes of the east
- Fearless",110768051,2018-02-13T07:24:05.000Z,3b77caf94bfc81fe,1,0,0,0,963312809613258752,N/A
963322081524924416,Happy Valentine's Day and Lunar New Year @catherinechen04 ! ❤🌑🎆🎇,19960531,2018-02-13T08:00:56.000Z,d563cf7307e4ba95,0,0,0,0,963322081524924416,N/A
963366264923017216,"Made a few lil gifts for the lunar new year--if you want a red envelope in your mailbox for Chinese New years, like 👍 this status :) can't promise $ but def lots of goodies (: #ChineseNewYear #LunarNewYear #Giveaway https://t.co/IHjRgIqj0r",890882603883966464,2018-02-13T10:56:30.000Z,5c62ffb0f0f3479d,1,0,0,0,963366264923017216,N/A
963377877776560129,@alleniverson stopped in to chat for the Chinese New Year! https://t.co/u05nqCWtyh,19250320,2018-02-13T11:42:39.000Z,07d9f31c5d486000,1,0,0,1,963377877776560129,20177956
963375868793049088,@helloalegria Also happy new year !! Been a minute,138619586,2018-02-13T11:34:40.000Z,8d742fb555fbff21,0,0,1,0,963373849579589633,827735851
963373181145899010,@NinerNabs49 Take a look at the jersey schedule on @LetsGoWarriors they will be wearing Chinese New Year one more time and then back to white next month. I believe they are wearing the black ones a lot as a tribute to black history month,267333778,2018-02-13T11:23:59.000Z,1c69a67ad480e1b1,1,0,1,0,963258640747540480,1904396719
963395278517751808,#Holidays https://t.co/pdS4mmYd9o,221313234,2018-02-13T12:51:48.000Z,cfcf6b96b61e7b11,0,0,0,0,963395278517751808,N/A
963394778703564800,Still room Friday 2/16. Full other days. Sorry. Join us for Chinese New Year. Fun!… https://t.co/rwbO9HKAyY,1479509948,2018-02-13T12:49:48.000Z,004c65550e85ca55,0,0,0,0,963394778703564800,N/A
963392009166905344,$NSAV. CHINESE NEW YEAR IS FRIDAY!! EXPECTING SOME BIG UPDATES ON OUR TIGER HEMP BEER ANY DAY NOW!!!!!! $LVGI $ARNH $ADTM $RCMH $DSGT $SNMN $BVTK $NOUV $AEXE @NSAV_MJTechCo @MJCoinProject #beeroclock #ChineseNewYear #Hemp #Beer #2018 #YearOfTheDog https://t.co/Thk349HHYd,519066529,2018-02-13T12:38:48.000Z,cb88149ad6010142,7,1,0,0,963392009166905344,N/A
